edadmatcat vs menosde31sem,Iden_Codigo,Iden_Sede,ANOCAT,ANO,cesarea,BPN,PESO1500G,altoriesgo,V195B,anoxia5mn,problemaneurologico,menosde31sem,menosde1001,V235,V235A,V237,V238,V274,V276,V277,V316,V318,V319,V327,V328,V329,V359,V361,V362,V370,V371,V372,V401,V403,V404,V412,V413,V414,menos34sem,MUERTE1ANO,Desercionreal12meses,indicadorasfixiaalnacerentrada,hospenURN,bogmeda,Prematuro,ANOBogota,ANOMedellin,edadmatcat vs menosde1001,edadmatcat vs MUERTE1ANO,ERN_Sexo vs menosde31sem,ERN_Sexo vs menosde1001,menosde31sem vs menosde1001,EGentradaPMC vs V196D,MUERTE1ANO vs V196D,MUERTE1ANO vs EGentradaPMC,menosde1001 vs MUERTE1ANO,menosde31sem vs V196A,menosde31sem vs MUERTE1ANO
0,9907.838548411384,1.724740249962355,12.896431260352356,0.15012799277217287,0.6173166691763289,0.2695678361692516,0.05866586357476284,0.28013853335341066,2.141334136425237,0.2215027857250414,0.13759975907242886,0.0,0.0024695076042764645,4.669567836169252,0.0051799427797018524,0.07854238819454902,0.5019424785423882,1.7032374642373136,0.06095467550067761,0.5703056768558952,1.3252522210510465,0.03794609245595543,0.5238668875169402,0.44583647041108265,1.2562565878632737,1.5753952717964161,1.126065351603674,0.02662249661195603,0.24972142749585904,0.40954675500677606,0.9272699894594187,1.2152989007679567,1.0790543592832404,0.02327962656226472,0.19478994127390453,0.39771118807408523,0.7318174973648547,1.0347236861918385,0.20614365306429755,0.005872609546755007,1.864448125282337,0.2215027857250414,0.7887667519951814,1.2762535762686342,0.7106761029965367,0.9217286553229935,2.2283993374491793,0.0024695076042764645,0.011745219093510013,0.45441951513326306,0.4601716608944436,3.9975304923957236,0.1474476735431411,1.3318174973648547,0.04333684686041259,0.014214726697786478,1.5089594940521005,3.98825478090649
1,8822.427558706248,1.5245901639344261,11.089499335400975,0.08041648205582631,0.7722640673460346,0.0,0.8661940629153744,0.1896322552060257,2.0248116969428445,0.5704474966770049,0.3661940629153744,1.0,0.2981834293309703,5.916925121843154,0.011519716437749225,0.14820558263181213,0.9047408063801506,1.9018608772707133,0.11032343819229065,0.8810367744793974,1.4911386796632697,0.06513070447496677,1.1617190961453256,0.408506867523261,1.0790872840053167,1.3613203367301727,1.2051395657953035,0.054275587062472305,0.5742135578201152,0.37372618520159506,0.8269827204253434,1.0985821887461231,1.1765618077093487,0.03898980948161276,0.19229065130704476,0.36287106778910055,0.6579530350022154,0.9452813469206912,0.999113867966327,0.017058041648205582,1.8814798404962338,0.5704474966770049,0.9893664155959238,1.2667257421355782,0.9873726185201595,0.8444838280903855,2.235932653965441,1.4065130704474966,1.0533894550287992,2.489366415595924,1.2084625609215773,1.7018165706690296,0.8150199379707577,4.356003544528135,0.11896322552060257,0.3322995126273815,1.0598139122729286,1.0341160832964111
2,10186.768786127168,1.907514450867052,14.06936416184971,0.31213872832369943,0.45664739884393063,0.2774566473988439,0.1329479768786127,0.43352601156069365,2.352601156069364,0.23699421965317918,0.1791907514450867,0.07514450867052024,0.023121387283236993,3.4104046242774566,0.0,0.057803468208092484,0.2023121387283237,1.9132947976878614,0.10982658959537572,0.3468208092485549,1.5664739884393064,0.06936416184971098,0.5317919075144508,0.3872832369942196,1.1040462427745665,1.4508670520231215,1.0,0.028901734104046242,0.09826589595375723,0.4624277456647399,1.0173410404624277,1.393063583815029,1.1271676300578035,0.023121387283236993,0.046242774566473986,0.45664739884393063,0.8901734104046243,1.2254335260115607,0.2947976878612717,0.005780346820809248,1.9364161849710984,0.23699421965317918,0.9017341040462428,1.4913294797687862,0.6820809248554913,1.5086705202312138,1.8034682080924855,2.0,1.023121387283237,0.6763005780346821,0.5722543352601156,3.8265895953757227,0.48554913294797686,2.3236994219653178,0.028901734104046242,0.03468208092485549,1.9248554913294798,3.786127167630058
3,10561.082592706098,1.655378486055777,12.942384308918173,0.15384615384615385,0.7548268464603126,0.2410358565737052,0.07799570946981306,0.26938400245173155,2.133772601900092,0.23980999080600673,0.14036163040147104,0.0,0.004903463070793748,4.790376953723567,0.005363162733680662,0.06389825314128103,0.2997241802022679,1.7378179589334968,0.05056696291756053,0.3073858412503831,1.4123505976095618,0.03110634385534784,0.5326386760649708,0.4969353355807539,1.4443763407906833,1.7316886300950045,1.1984370211461846,0.021452650934722647,0.1523138216365308,0.44544897333741956,1.020073551946062,1.2713760343242415,1.163959546429666,0.017928286852589643,0.1060373889059148,0.43456941464909593,0.8041679436101747,1.0559301256512412,0.23582592706098682,0.007508427827152927,1.8650015323322096,0.23980999080600673,0.8230156297885382,1.205179282868526,0.736898559607723,0.7240269690468893,2.4298191847992645,3.0098069261415876,2.992491572172847,0.46092552865461234,0.47272448666870975,3.995096536929206,0.1359178669935642,1.4223107569721116,0.045203800183879865,0.0199203187250996,1.483910511798958,3.9849831443456942
4,8365.607410881801,1.8464665415884929,12.861632270168856,0.13664790494058787,0.4197936210131332,0.28142589118198874,0.0473733583489681,0.3262976860537836,2.2277986241400876,0.22545340838023764,0.13414634146341464,0.0,0.002188868042526579,4.035803627267042,0.013602251407129456,0.09615384615384616,0.4631019387116948,1.7052845528455285,0.108505315822389,0.6211694809255784,1.1641651031894935,0.059255784865540964,0.5012507817385866,0.3269230769230769,0.7643839899937461,1.1693245778611632,0.9596622889305816,0.028767979987492184,0.2872107567229518,0.3458411507191995,0.6791744840525328,1.1371169480925578,0.9226078799249531,0.029862414008755472,0.4410569105691057,0.3525641025641026,0.6066291432145091,1.1100687929956223,0.19262038774233897,0.010631644777986242,1.7684490306441525,0.22545340838023764,0.7417135709818636,1.58505315822389,0.7004377736085053,1.7975297060662914,1.3391181988742964,4.004377736085053,4.021263289555972,0.4596622889305816,0.4646654158849281,3.9978111319574734,0.22951844903064414,1.6896497811131956,0.031269543464665414,0.02345215759849906,1.7135709818636649,3.9787367104440277
